	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
					2 year lag	2 year lag	4 year lag	4 year lag
VARIABLES	2 year lag	2 year lag	4 year lag	4 year lag	SO	SO	SO	SO
								
tot_ln	0.605957***		0.603310***		0.613471***		0.618495***	
	(0.017571)		(0.017395)		(0.017879)		(0.017758)	
OthGov_share	-0.040822		-0.054376		-0.081011		-0.129707	
	(0.093375)		(0.092645)		(0.095129)		(0.094357)	
Corp_share	-1.567232***		-1.623730***		-1.583746***		-1.689900***	
	(0.343254)		(0.313620)		(0.341882)		(0.311919)	
Noprof_share	0.087556		-0.341749		0.028747		-0.460192	
	(0.338498)		(0.315281)		(0.340464)		(0.317768)	
Ln_HumCap	1.599307***		1.445982***		1.605694***		1.445882***	
	(0.071582)		(0.067167)		(0.071402)		(0.066550)	
Year_5	0.224079**		0.091108		0.233338**		0.102791	
	(0.090888)		(0.091002)		(0.090855)		(0.090598)	
Year_6	0.082681		0.003565		0.092943		0.017033	
	(0.089433)		(0.089406)		(0.089417)		(0.089025)	
Year_7	0.109208		0.014788		0.120158		0.028111	
	(0.090066)		(0.089930)		(0.090055)		(0.089515)	
Year_8	0.060020		0.012850		0.069152		0.021821	
	(0.088997)		(0.089210)		(0.088945)		(0.088754)	
Year_9	0.063850		0.001603		0.071535		0.009556	
	(0.088919)		(0.089157)		(0.088844)		(0.088716)	
Year_10	0.018276		-0.034512		0.025398		-0.026345	
	(0.089081)		(0.089149)		(0.088987)		(0.088719)	
Year_11	0.043334		0.002090		0.048799		0.007573	
	(0.089645)		(0.090023)		(0.089507)		(0.089560)	
Year_12	0.065738		0.027223		0.069169		0.028590	
	(0.088537)		(0.088944)		(0.088383)		(0.088466)	
Year_13	0.066428				0.068285			
	(0.089698)				(0.089528)			
Year_14	-0.018838				-0.018754			
	(0.087464)				(0.087307)			
Subcat_1	1.373556***		1.486195***		1.330584***		1.413521***	
	(0.054508)		(0.053828)		(0.058199)		(0.057133)	
Subcat_2	0.204782***		0.264364***		0.200684***		0.258840***	
	(0.055137)		(0.054910)		(0.055098)		(0.054685)	
Subcat_4	0.373338***		0.416165***		0.369271***		0.407663***	
	(0.058168)		(0.058439)		(0.058145)		(0.058241)	
Year_3			0.272313***				0.290840***	
			(0.093811)				(0.093498)	
Year_4			0.168201*				0.180187**	
			(0.091893)				(0.091483)	
F2.Pub_x					0.000924**			
					(0.000466)			
F4.Pub_x							0.001611***	
							(0.000481)	
Constant	-2.883420***		-2.294116***		-2.915296***		-2.317553***	
	(0.205557)		(0.200241)		(0.205658)		(0.198737)	
								
Observations	1,039	1,039	1,018	1,018	1,039	1,039	1,018	1,018
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
